{'Time': '2023-07-24T14:14:00Z', 'SELL': 260.25, 'BUY': 260.28}
{'Time': '2023-07-24T14:14:10Z', 'SELL': 260.37, 'BUY': 260.41}
{'Time': '2023-07-24T14:14:20Z', 'SELL': 260.38, 'BUY': 260.44}
{'Time': '2023-07-24T14:14:30Z', 'BUY': 260.49, 'SELL': 260.46}
{'Time': '2023-07-24T14:14:40Z', 'BUY': 260.26, 'SELL': 260.21}
{'Time': '2023-07-24T14:14:50Z', 'BUY': 260.31, 'SELL': 260.26}
{'Time': '2023-07-24T14:15:00Z', 'SELL': 260.3, 'BUY': 260.36}
{'Time': '2023-07-24T14:15:10Z', 'SELL': 260.45, 'BUY': 260.48}
{'Time': '2023-07-24T14:15:20Z', 'SELL': 260.35, 'BUY': 260.37}
{'Time': '2023-07-24T14:15:30Z', 'SELL': 260.24, 'BUY': 260.29}
{'Time': '2023-07-24T14:15:40Z', 'SELL': 260.37, 'BUY': 260.42}
{'Time': '2023-07-24T14:15:50Z', 'SELL': 260.28, 'BUY': 260.34}
{'Time': '2023-07-24T14:16:00Z', 'SELL': 260.31, 'BUY': 260.36}
{'Time': '2023-07-24T14:16:10Z', 'BUY': 260.24, 'SELL': 260.19}
{'Time': '2023-07-24T14:16:20Z', 'SELL': 260.18, 'BUY': 260.23}
{'Time': '2023-07-24T14:16:30Z', 'BUY': 260.65, 'SELL': 260.58}
{'Time': '2023-07-24T14:16:40Z', 'SELL': 260.52, 'BUY': 260.55}
{'Time': '2023-07-24T14:16:50Z', 'SELL': 260.69, 'BUY': 260.69}
{'Time': '2023-07-24T14:17:00Z', 'BUY': 260.79, 'SELL': 260.76}
{'Time': '2023-07-24T14:17:10Z', 'BUY': 260.86, 'SELL': 260.81}
{'Time': '2023-07-24T14:17:20Z', 'BUY': 260.98, 'SELL': 260.94}
{'Time': '2023-07-24T14:17:30Z', 'SELL': 261.13, 'BUY': 261.2}
{'Time': '2023-07-24T14:17:40Z', 'BUY': 261.32, 'SELL': 261.29}
{'Time': '2023-07-24T14:17:50Z', 'SELL': 261.09, 'BUY': 261.13}
{'Time': '2023-07-24T14:18:00Z', 'SELL': 261.04, 'BUY': 261.09}
{'Time': '2023-07-24T14:18:10Z', 'BUY': 260.97, 'SELL': 260.92}
{'Time': '2023-07-24T14:18:20Z', 'SELL': 260.75, 'BUY': 260.8}
{'Time': '2023-07-24T14:18:30Z', 'BUY': 260.78, 'SELL': 260.75}
{'Time': '2023-07-24T14:18:40Z', 'BUY': 260.81, 'SELL': 260.77}
{'Time': '2023-07-24T14:18:50Z', 'SELL': 260.91, 'BUY': 260.95}
{'Time': '2023-07-24T14:19:00Z', 'BUY': 261.18, 'SELL': 261.16}
{'Time': '2023-07-24T14:19:10Z', 'SELL': 261.13, 'BUY': 261.16}
{'Time': '2023-07-24T14:19:20Z', 'SELL': 261.11, 'BUY': 261.16}
{'Time': '2023-07-24T14:19:30Z', 'BUY': 261.42, 'SELL': 261.35}
{'Time': '2023-07-24T14:19:40Z', 'BUY': 261.22, 'SELL': 261.2}
{'Time': '2023-07-24T14:19:50Z', 'BUY': 261.17, 'SELL': 261.14}
{'Time': '2023-07-24T14:20:00Z', 'SELL': 261.18, 'BUY': 261.2}
{'Time': '2023-07-24T14:20:10Z', 'BUY': 261.08, 'SELL': 261.06}
{'Time': '2023-07-24T14:20:20Z', 'SELL': 261.16, 'BUY': 261.2}
{'Time': '2023-07-24T14:20:30Z', 'BUY': 261.59, 'SELL': 261.53}
{'Time': '2023-07-24T14:20:40Z', 'BUY': 261.63, 'SELL': 261.57}
{'Time': '2023-07-24T14:20:50Z', 'BUY': 261.89, 'SELL': 261.86}
{'Time': '2023-07-24T14:21:00Z', 'BUY': 261.83, 'SELL': 261.8}
{'Time': '2023-07-24T14:21:10Z', 'BUY': 261.92, 'SELL': 261.9}
{'Time': '2023-07-24T14:21:20Z', 'SELL': 261.76, 'BUY': 261.8}
{'Time': '2023-07-24T14:21:30Z', 'SELL': 261.93, 'BUY': 261.97}
{'Time': '2023-07-24T14:21:40Z', 'BUY': 261.9, 'SELL': 261.86}
{'Time': '2023-07-24T14:21:50Z', 'BUY': 261.93, 'SELL': 261.9}
{'Time': '2023-07-24T14:22:00Z', 'SELL': 262.1, 'BUY': 262.14}
{'Time': '2023-07-24T14:22:10Z', 'SELL': 261.82, 'BUY': 261.84}
{'Time': '2023-07-24T14:22:20Z', 'SELL': 261.89, 'BUY': 261.91}
{'Time': '2023-07-24T14:22:30Z', 'BUY': 261.81, 'SELL': 261.76}
{'Time': '2023-07-24T14:22:40Z', 'SELL': 261.74, 'BUY': 261.78}
{'Time': '2023-07-24T14:22:50Z', 'BUY': 261.65, 'SELL': 261.61}
