date,_id,curtime,gettime,symbol,tradetime,last,ask,asksize,bid,bidsize,volume,vwap,open,high,low,previousclose,previousvolume,netchange,netchangepct,lvl2,close,macd,macds,macdh,macd_cross,macd_sign,start,end,max,min,r,len,accum,peak,h_s
2023-06-05T14:11:20Z,647ded085869ec113f5f2c72,2023-06-05T14:11:20Z,2023-06-05T14:11:20Z,AAPL,2023-06-05T14:11:19Z,183.63,183.63,1000.0,183.62,200.0,17729792.0,183.208350502836,182.63,183.95,181.97,180.95,61996913.0,2.68,0.0148,-5.79373529994711,183.63,-0.0131901392370537,-0.010487023034789019,-0.002703116202264681,0,-1,2023-06-05T14:11:10Z,2023-06-05T14:11:20Z,-0.002703116202264681,-0.005221780810665813,0.5176617518574118,2,-0.007924897012930494,2023-06-05T14:11:10Z,-0.002703116202264681
2023-06-05T14:11:30Z,647ded125869ec113f5f2d3b,2023-06-05T14:11:30Z,2023-06-05T14:11:30Z,AAPL,2023-06-05T14:11:29Z,183.5756,183.58,100.0,183.56,400.0,17776289.0,183.209504086214,182.63,183.95,181.97,180.95,61996913.0,2.6256,0.0145,-318.12217035874005,183.5756,-0.019294897498099317,-0.01224859792745108,-0.007046299570648238,0,-1,2023-06-05T14:11:10Z,2023-06-05T14:11:30Z,-0.002703116202264681,-0.007046299570648238,1.0,3,-0.014971196583578731,2023-06-05T14:11:30Z,-0.007046299570648238
2023-06-05T14:11:40Z,647ded1c5869ec113f5f2e0a,2023-06-05T14:11:40Z,2023-06-05T14:11:40Z,AAPL,2023-06-05T14:11:39Z,183.575,183.58,300.0,183.57,100.0,17818163.0,183.210459081815,182.63,183.95,181.97,180.95,61996913.0,2.625,0.0145,1513.3244262035641,183.575,-0.02233067204576855,-0.014265012751114576,-0.008065659294653976,0,-1,2023-06-05T14:11:10Z,2023-06-05T14:11:40Z,-0.002703116202264681,-0.008065659294653976,1.0,4,-0.023036855878232707,2023-06-05T14:11:40Z,-0.008065659294653976
2023-06-05T14:11:50Z,647ded265869ec113f5f2ed2,2023-06-05T14:11:50Z,2023-06-05T14:11:50Z,AAPL,2023-06-05T14:11:49Z,183.65,183.65,200.0,183.64,300.0,17844313.0,183.211105029179,182.63,183.95,181.97,180.95,61996913.0,2.7,0.0149,-285.4005986427527,183.65,-0.012563567807774234,-0.013924723762446509,0.0013611559546722746,1,1,2023-06-05T14:11:50Z,2023-06-05T14:11:50Z,0.0013611559546722746,0.0013611559546722746,1.0,1,0.0013611559546722746,2023-06-05T14:11:50Z,0.0013611559546722746
2023-06-05T14:12:00Z,647ded305869ec113f5f2fa0,2023-06-05T14:12:00Z,2023-06-05T14:12:00Z,AAPL,2023-06-05T14:11:59Z,183.71,183.71,400.0,183.7,1000.0,17870206.0,183.211740946729,182.63,183.95,181.97,180.95,61996913.0,2.76,0.0153,319.77279255893745,183.71,0.0025005191872651267,-0.01063967517250418,0.013140194359769307,0,1,2023-06-05T14:11:50Z,2023-06-05T14:12:00Z,0.013140194359769307,0.0013611559546722746,1.0,2,0.014501350314441582,2023-06-05T14:12:00Z,0.013140194359769307
2023-06-05T14:12:10Z,647ded3a5869ec113f5f3065,2023-06-05T14:12:10Z,2023-06-05T14:12:10Z,AAPL,2023-06-05T14:12:09Z,183.85,183.86,500.0,183.84,900.0,17922730.0,183.213538856216,182.63,183.95,181.97,180.95,61996913.0,2.9,0.016,-750.7151283006,183.85,0.03162136758473366,-0.00218746662105661,0.03380883420579027,0,1,2023-06-05T14:11:50Z,2023-06-05T14:12:10Z,0.03380883420579027,0.0013611559546722746,1.0,3,0.04831018452023185,2023-06-05T14:12:10Z,0.03380883420579027
2023-06-05T14:12:20Z,647ded445869ec113f5f312d,2023-06-05T14:12:20Z,2023-06-05T14:12:20Z,AAPL,2023-06-05T14:12:19Z,183.87,183.87,100.0,183.85,400.0,17973136.0,183.215504972409,182.63,183.95,181.97,180.95,61996913.0,2.92,0.0161,581.6229846417313,183.87,0.0510169332328303,0.008453413349720775,0.042563519883109524,0,1,2023-06-05T14:11:50Z,2023-06-05T14:12:20Z,0.042563519883109524,0.0013611559546722746,1.0,4,0.09087370440334137,2023-06-05T14:12:20Z,0.042563519883109524
2023-06-05T14:12:30Z,647ded4e5869ec113f5f31f4,2023-06-05T14:12:30Z,2023-06-05T14:12:30Z,AAPL,2023-06-05T14:12:29Z,183.96,183.98,1100.0,183.96,500.0,18050997.0,183.218896943875,182.63,183.98,181.97,180.95,61996913.0,3.01,0.0166,-883.6710742975032,183.96,0.07366658839558227,0.02149604835889308,0.05217054003668919,0,1,2023-06-05T14:11:50Z,2023-06-05T14:12:30Z,0.05217054003668919,0.0013611559546722746,1.0,5,0.14304424444003055,2023-06-05T14:12:30Z,0.05217054003668919
2023-06-05T14:12:40Z,647ded585869ec113f5f32c3,2023-06-05T14:12:40Z,2023-06-05T14:12:40Z,AAPL,2023-06-05T14:12:39Z,183.9899,183.99,5900.0,183.97,500.0,18151142.0,183.223745926797,182.63,183.99001,181.97,180.95,61996913.0,3.0399,0.0168,-17024.507718165656,183.9899,0.08879835325456042,0.034956509338026555,0.05384184391653387,0,1,2023-06-05T14:11:50Z,2023-06-05T14:12:40Z,0.05384184391653387,0.0013611559546722746,1.0,6,0.19688608835656443,2023-06-05T14:12:40Z,0.05384184391653387
2023-06-05T14:12:50Z,647ded625869ec113f5f3391,2023-06-05T14:12:50Z,2023-06-05T14:12:50Z,AAPL,2023-06-05T14:12:49Z,183.91,183.92,100.0,183.91,200.0,18203706.0,183.226031409129,182.63,183.99001,181.97,180.95,61996913.0,2.96,0.0164,547.4623399611085,183.91,0.08302399079050815,0.044570005628522875,0.038453985161985275,0,1,2023-06-05T14:11:50Z,2023-06-05T14:12:50Z,0.05384184391653387,0.0013611559546722746,0.7142026046061313,7,0.23534007351854971,2023-06-05T14:12:40Z,0.038453985161985275
2023-06-05T14:13:00Z,647ded6c5869ec113f5f3459,2023-06-05T14:13:00Z,2023-06-05T14:13:00Z,AAPL,2023-06-05T14:12:59Z,183.9299,183.93,400.0,183.91,300.0,18251029.0,183.227836790152,182.63,183.99001,181.97,180.95,61996913.0,2.9799,0.0165,230.11228753863386,183.9299,0.07894278965778767,0.05144456243437585,0.027498227223411824,0,1,2023-06-05T14:11:50Z,2023-06-05T14:13:00Z,0.05384184391653387,0.0013611559546722746,0.5107222417203956,8,0.2628383007419615,2023-06-05T14:12:40Z,0.027498227223411824
