Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
AAPL,,,1600,177.31,800,17999714,2023-05-30T14:36:36Z
AAPL,177.305,177.31,200,177.3,500,18002127,2023-05-30T14:36:38Z
AAPL,177.33,177.33,1000,177.32,100,18003283,
AAPL,177.312,177.32,300,177.3,800,18005223,2023-05-30T14:36:40Z
AAPL,177.3,,600,,400,18005356,
AAPL,177.3001,177.31,500,,200,18006923,2023-05-30T14:36:41Z
AAPL,177.29,,1500,177.29,,18008252,2023-05-30T14:36:42Z
AAPL,,177.29,200,177.28,700,18010226,2023-05-30T14:36:43Z
AAPL,177.28,,300,,300,18013484,2023-05-30T14:36:44Z
AAPL,177.29,177.3,1600,,400,18013934,2023-05-30T14:36:45Z
AAPL,177.2951,,1500,,700,18015450,2023-05-30T14:36:46Z
AAPL,177.29,,1200,177.29,100,18016988,2023-05-30T14:36:47Z
AAPL,177.295,,500,,300,18021020,2023-05-30T14:36:49Z
AAPL,,,600,,,18023730,2023-05-30T14:36:50Z
AAPL,,177.29,300,177.28,,18027794,
AAPL,177.29,177.3,1200,,700,18029858,2023-05-30T14:36:51Z
AAPL,177.2837,,900,,,18030780,2023-05-30T14:36:52Z
AAPL,177.29,,700,177.29,500,18031296,2023-05-30T14:36:54Z
AAPL,,,,,,18031734,
AAPL,,,900,,100,18032698,2023-05-30T14:36:55Z
AAPL,177.305,177.31,1500,177.3,300,18045204,2023-05-30T14:36:57Z
AAPL,177.315,177.32,400,,600,18050161,
AAPL,177.3198,,300,177.31,100,18050969,2023-05-30T14:36:58Z
AAPL,177.3,177.31,600,177.29,700,18051943,2023-05-30T14:37:00Z
AAPL,,,100,,500,18052107,
AAPL,177.31,177.32,400,177.3,700,18053289,2023-05-30T14:37:02Z
AAPL,177.3146,,,177.31,200,18054231,
AAPL,177.3138,,,,300,18057701,2023-05-30T14:37:03Z
AAPL,177.315,,,,100,18060925,2023-05-30T14:37:04Z
AAPL,177.3002,177.31,300,177.3,,18061872,2023-05-30T14:37:05Z
AAPL,177.3,177.3,200,177.29,300,18063551,2023-05-30T14:37:06Z
AAPL,177.31,177.32,500,177.3,4500,18065449,2023-05-30T14:37:07Z
AAPL,177.32,177.31,300,,4600,18066658,2023-05-30T14:37:08Z
AAPL,177.3099,,100,,4300,18069069,2023-05-30T14:37:09Z
AAPL,177.3,177.3,300,177.29,200,18076254,2023-05-30T14:37:11Z
AAPL,177.2905,,200,,,18076616,
AAPL,177.3094,177.31,300,177.3,,18078153,2023-05-30T14:37:12Z
AAPL,177.305,,,,,18078440,2023-05-30T14:37:13Z
AAPL,177.3087,,200,,,18079968,2023-05-30T14:37:15Z
AAPL,177.3,,400,177.29,400,18080230,
AAPL,177.3079,,100,177.3,500,18080642,2023-05-30T14:37:16Z
AAPL,177.3001,,500,177.29,,18081078,2023-05-30T14:37:17Z
AAPL,177.295,,,,300,18081472,2023-05-30T14:37:18Z
AAPL,,,200,177.3,1100,18111508,
AAPL,,,500,,1000,18111601,
AAPL,177.305,,600,177.29,600,18112765,2023-05-30T14:37:21Z
AAPL,177.3,,500,177.3,100,18113311,2023-05-30T14:37:22Z
AAPL,177.31,,,,300,18113704,2023-05-30T14:37:24Z
AAPL,177.3038,,,,100,18114520,
AAPL,177.31,,,,600,18114683,2023-05-30T14:37:25Z
AAPL,177.3002,,,,,18116044,2023-05-30T14:37:27Z
AAPL,177.3115,177.32,200,177.31,200,18118277,2023-05-30T14:37:28Z
