,CurTime,Last,Ask,Bid
1079,2023-06-09T16:29:50Z,244.2999,244.3,244.29
1080,2023-06-09T16:30:00Z,244.15,244.15,244.12
1081,2023-06-09T16:30:10Z,243.9599,243.96,243.93
1082,2023-06-09T16:30:20Z,243.865,243.88,243.85
1083,2023-06-09T16:30:30Z,244.1799,244.18,244.15
1084,2023-06-09T16:30:40Z,244.11,244.13,244.11
1085,2023-06-09T16:30:50Z,244.24,244.26,244.22
1086,2023-06-09T16:31:00Z,244.4,244.4,244.37
1087,2023-06-09T16:31:10Z,244.46,244.48,244.45
1088,2023-06-09T16:31:20Z,244.44,244.47,244.43
1089,2023-06-09T16:31:30Z,244.42,244.43,244.41
1090,2023-06-09T16:31:40Z,244.345,244.36,244.33
1091,2023-06-09T16:31:50Z,244.3336,244.37,244.33
1092,2023-06-09T16:32:00Z,244.3,244.34,244.3
1093,2023-06-09T16:32:10Z,244.4447,244.46,244.42
1094,2023-06-09T16:32:20Z,244.4608,244.48,244.44
1095,2023-06-09T16:32:30Z,244.75,244.75,244.71
1096,2023-06-09T16:32:40Z,244.55,244.58,244.55
1097,2023-06-09T16:32:50Z,244.59,244.63,244.58
1098,2023-06-09T16:33:00Z,244.615,244.63,244.6
1099,2023-06-09T16:33:10Z,244.4301,244.45,244.43
1100,2023-06-09T16:33:20Z,244.3984,244.42,244.38
1101,2023-06-09T16:33:30Z,244.49,244.52,244.49
1102,2023-06-09T16:33:40Z,244.5,244.52,244.46
1103,2023-06-09T16:33:50Z,244.4231,244.45,244.41
1104,2023-06-09T16:34:00Z,244.41,244.42,244.39
1105,2023-06-09T16:34:10Z,244.237,244.24,244.21
1106,2023-06-09T16:34:20Z,244.36,244.38,244.34
1107,2023-06-09T16:34:30Z,244.2869,244.34,244.28
1108,2023-06-09T16:34:40Z,244.17,244.2,244.16
1109,2023-06-09T16:34:50Z,244.165,244.17,244.16
1110,2023-06-09T16:35:00Z,243.96,243.99,243.96
1111,2023-06-09T16:35:10Z,243.8049,243.8,243.76
1112,2023-06-09T16:35:20Z,243.675,243.7,243.65
1113,2023-06-09T16:35:30Z,243.6443,243.67,243.64
1114,2023-06-09T16:35:40Z,243.63,243.65,243.62
1115,2023-06-09T16:35:50Z,243.735,243.75,243.72
1116,2023-06-09T16:36:00Z,243.61,243.64,243.6
1117,2023-06-09T16:36:10Z,243.6199,243.62,243.59
1118,2023-06-09T16:36:20Z,243.54,243.54,243.51
1119,2023-06-09T16:36:30Z,243.415,243.43,243.4
1120,2023-06-09T16:36:40Z,243.295,243.3,243.28
1121,2023-06-09T16:36:50Z,243.225,243.24,243.21
1122,2023-06-09T16:37:00Z,243.335,243.35,243.32
1123,2023-06-09T16:37:10Z,243.5499,243.55,243.53
1124,2023-06-09T16:37:20Z,243.57,243.58,243.53
1125,2023-06-09T16:37:30Z,243.6588,243.68,243.64
1126,2023-06-09T16:37:40Z,243.4386,243.44,243.42
1127,2023-06-09T16:37:50Z,243.3989,243.41,243.38
1128,2023-06-09T16:38:00Z,243.377,243.4,243.37
1129,2023-06-09T16:38:10Z,243.0,243.0,242.97
1130,2023-06-09T16:38:20Z,242.1261,242.17,242.12
1131,2023-06-09T16:38:30Z,242.64,242.64,242.61
1132,2023-06-09T16:38:40Z,242.75,242.78,242.75
1133,2023-06-09T16:38:50Z,242.78,242.78,242.75
1134,2023-06-09T16:39:00Z,242.6836,242.71,242.68
1135,2023-06-09T16:39:10Z,242.61,242.61,242.58
1136,2023-06-09T16:39:20Z,242.2101,242.24,242.21
1137,2023-06-09T16:39:30Z,242.2546,242.29,242.25
1138,2023-06-09T16:39:40Z,242.25,242.26,242.24
