{'Time': '2023-07-31T14:03:30Z', 'BUY': 132.49, 'SELL': 132.48}
{'Time': '2023-07-31T14:03:40Z', 'SELL': 132.46, 'BUY': 132.47}
{'Time': '2023-07-31T14:03:50Z', 'SELL': 132.39, 'BUY': 132.4}
{'Time': '2023-07-31T14:04:00Z', 'BUY': 132.46, 'SELL': 132.44}
{'Time': '2023-07-31T14:04:10Z', 'SELL': 132.42, 'BUY': 132.44}
{'Time': '2023-07-31T14:04:20Z', 'BUY': 132.51, 'SELL': 132.5}
{'Time': '2023-07-31T14:04:30Z', 'SELL': 132.57, 'BUY': 132.6}
{'Time': '2023-07-31T14:04:40Z', 'SELL': 132.56, 'BUY': 132.57}
{'Time': '2023-07-31T14:04:50Z', 'BUY': 132.62, 'SELL': 132.6}
{'Time': '2023-07-31T14:05:00Z', 'BUY': 132.69, 'SELL': 132.68}
{'Time': '2023-07-31T14:05:10Z', 'SELL': 132.7, 'BUY': 132.71}
{'Time': '2023-07-31T14:05:20Z', 'BUY': 132.78, 'SELL': 132.76}
{'Time': '2023-07-31T14:05:30Z', 'BUY': 132.76, 'SELL': 132.75}
{'Time': '2023-07-31T14:05:40Z', 'SELL': 132.7, 'BUY': 132.72}
{'Time': '2023-07-31T14:05:50Z', 'BUY': 132.75, 'SELL': 132.74}
{'Time': '2023-07-31T14:06:00Z', 'BUY': 132.75, 'SELL': 132.74}
{'Time': '2023-07-31T14:06:10Z', 'BUY': 132.73, 'SELL': 132.71}
{'Time': '2023-07-31T14:06:20Z', 'BUY': 132.7, 'SELL': 132.68}
{'Time': '2023-07-31T14:06:30Z', 'BUY': 132.68, 'SELL': 132.65}
{'Time': '2023-07-31T14:06:40Z', 'BUY': 132.74, 'SELL': 132.73}
{'Time': '2023-07-31T14:06:50Z', 'BUY': 132.83, 'SELL': 132.81}
{'Time': '2023-07-31T14:07:00Z', 'BUY': 132.81, 'SELL': 132.8}
{'Time': '2023-07-31T14:07:10Z', 'BUY': 132.89, 'SELL': 132.88}
{'Time': '2023-07-31T14:07:20Z', 'BUY': 132.89, 'SELL': 132.87}
{'Time': '2023-07-31T14:07:30Z', 'SELL': 132.84, 'BUY': 132.86}
{'Time': '2023-07-31T14:07:40Z', 'SELL': 132.96, 'BUY': 132.97}
{'Time': '2023-07-31T14:07:50Z', 'BUY': 132.95, 'SELL': 132.93}
{'Time': '2023-07-31T14:08:00Z', 'BUY': 132.92, 'SELL': 132.91}
{'Time': '2023-07-31T14:08:10Z', 'BUY': 132.95, 'SELL': 132.94}
{'Time': '2023-07-31T14:08:20Z', 'SELL': 132.96, 'BUY': 132.97}
{'Time': '2023-07-31T14:08:30Z', 'BUY': 132.99, 'SELL': 132.98}
{'Time': '2023-07-31T14:08:40Z', 'SELL': 133.04, 'BUY': 133.06}
{'Time': '2023-07-31T14:08:50Z', 'BUY': 133.01, 'SELL': 133.0}
{'Time': '2023-07-31T14:09:00Z', 'BUY': 133.09, 'SELL': 133.08}
{'Time': '2023-07-31T14:09:10Z', 'SELL': 133.0, 'BUY': 133.01}
{'Time': '2023-07-31T14:09:20Z', 'BUY': 133.0, 'SELL': 132.98}
{'Time': '2023-07-31T14:09:30Z', 'BUY': 133.03, 'SELL': 133.01}
{'Time': '2023-07-31T14:09:40Z', 'SELL': 132.95, 'BUY': 132.96}
{'Time': '2023-07-31T14:09:50Z', 'SELL': 133.04, 'BUY': 133.05}
{'Time': '2023-07-31T14:10:00Z', 'BUY': 133.07, 'SELL': 133.05}
{'Time': '2023-07-31T14:10:10Z', 'SELL': 133.05, 'BUY': 133.06}
{'Time': '2023-07-31T14:10:20Z', 'BUY': 133.04, 'SELL': 133.01}
{'Time': '2023-07-31T14:10:30Z', 'BUY': 133.02, 'SELL': 133.0}
{'Time': '2023-07-31T14:10:40Z', 'SELL': 133.0, 'BUY': 133.02}
{'Time': '2023-07-31T14:10:50Z', 'SELL': 132.97, 'BUY': 132.99}
{'Time': '2023-07-31T14:11:00Z', 'SELL': 132.97, 'BUY': 132.98}
{'Time': '2023-07-31T14:11:10Z', 'SELL': 132.93, 'BUY': 132.94}
{'Time': '2023-07-31T14:11:20Z', 'SELL': 132.94, 'BUY': 132.96}
{'Time': '2023-07-31T14:11:30Z', 'SELL': 132.94, 'BUY': 132.96}
{'Time': '2023-07-31T14:11:40Z', 'BUY': 133.03, 'SELL': 133.02}
{'Time': '2023-07-31T14:11:50Z', 'BUY': 133.14, 'SELL': 133.13}
{'Time': '2023-07-31T14:12:00Z', 'SELL': 133.1, 'BUY': 133.11}
{'Time': '2023-07-31T14:12:10Z', 'BUY': 133.14, 'SELL': 133.13}
{'Time': '2023-07-31T14:12:20Z', 'SELL': 133.09, 'BUY': 133.1}
