High,Low,Open,Close,TimeStamp,TotalVolume,DownTicks,DownVolume,OpenInterest,IsRealtime,IsEndOfHistory,TotalTicks,UnchangedTicks,UnchangedVolume,UpTicks,UpVolume,Epoch,BarStatus
12.24,12.23,12.23,12.24,2016-12-06T17:15:00Z,114870,14,38475,0,False,False,50,0,0,36,76395,1481044500000,Closed
12.24,12.24,12.24,12.24,2016-12-06T17:16:00Z,36405,2,6000,0,False,False,13,0,0,11,30405,1481044560000,Closed
12.25,12.25,12.25,12.25,2016-12-06T17:17:00Z,3000,1,1500,0,False,False,2,0,0,1,1500,1481044620000,Closed
12.25,12.24,12.24,12.24,2016-12-06T17:18:00Z,174000,24,94500,0,False,False,38,0,0,14,79500,1481044680000,Closed
12.25,12.24,12.24,12.25,2016-12-06T17:19:00Z,24000,4,12000,0,False,False,11,0,0,7,12000,1481044740000,Closed
12.25,12.25,12.25,12.25,2016-12-06T17:20:00Z,16800,1,1500,0,False,False,6,0,0,5,15300,1481044800000,Closed
12.25,12.24,12.24,12.24,2016-12-06T17:21:00Z,39225,11,21750,0,False,False,15,0,0,4,17475,1481044860000,Closed
12.25,12.24,12.24,12.24,2016-12-06T17:22:00Z,63000,11,58500,0,False,False,13,0,0,2,4500,1481044920000,Closed
12.24,12.24,12.24,12.24,2016-12-06T17:23:00Z,1500,0,0,0,False,False,1,0,0,1,1500,1481044980000,Closed
12.24,12.23,12.24,12.23,2016-12-06T17:24:00Z,135270,19,37725,0,False,False,37,0,0,18,97545,1481045040000,Closed
12.24,12.23,12.23,12.24,2016-12-06T17:25:00Z,129300,2,16800,0,False,False,8,0,0,6,112500,1481045100000,Closed
12.25,12.23,12.23,12.25,2016-12-06T17:26:00Z,72450,10,18000,0,False,False,27,0,0,17,54450,1481045160000,Closed
12.25,12.23,12.24,12.24,2016-12-06T17:27:00Z,83970,20,43500,0,False,False,30,0,0,10,40470,1481045220000,Closed
12.24,12.23,12.23,12.24,2016-12-06T17:28:00Z,51120,4,8250,0,False,False,24,0,0,20,42870,1481045280000,Closed
12.25,12.24,12.25,12.25,2016-12-06T17:29:00Z,16125,2,3825,0,False,False,9,0,0,7,12300,1481045340000,Closed
12.25,12.24,12.24,12.25,2016-12-06T17:30:00Z,88065,14,58500,0,False,False,22,0,0,8,29565,1481045400000,Closed
12.25,12.25,12.25,12.25,2016-12-06T17:31:00Z,56265,2,16500,0,False,False,13,0,0,11,39765,1481045460000,Closed
12.26,12.25,12.26,12.25,2016-12-06T17:32:00Z,34800,6,22500,0,False,False,9,0,0,3,12300,1481045520000,Closed
12.25,12.24,12.25,12.25,2016-12-06T17:33:00Z,119250,17,73500,0,False,False,25,0,0,8,45750,1481045580000,Closed
12.25,12.24,12.25,12.25,2016-12-06T17:34:00Z,115050,11,80550,0,False,False,19,0,0,8,34500,1481045640000,Closed
12.25,12.24,12.24,12.25,2016-12-06T17:35:00Z,27450,4,21000,0,False,False,5,0,0,1,6450,1481045700000,Closed
12.25,12.24,12.24,12.24,2016-12-06T17:36:00Z,54870,18,49620,0,False,False,21,0,0,3,5250,1481045760000,Closed
12.25,12.24,12.24,12.24,2016-12-06T17:37:00Z,16500,3,4500,0,False,False,10,0,0,7,12000,1481045820000,Closed
12.25,12.24,12.24,12.24,2016-12-06T17:38:00Z,26460,5,7995,0,False,False,16,0,0,11,18465,1481045880000,Closed
12.25,12.24,12.24,12.25,2016-12-06T17:39:00Z,24000,1,1500,0,False,False,5,0,0,4,22500,1481045940000,Closed
12.25,12.23,12.25,12.24,2016-12-06T17:40:00Z,235500,19,76500,0,False,False,29,0,0,10,159000,1481046000000,Closed
12.24,12.24,12.24,12.24,2016-12-06T17:41:00Z,14550,4,7500,0,False,False,7,0,0,3,7050,1481046060000,Closed
