,_id_x,CurTime,GetTime_x,Symbol,TradeTime,Last,Ask,AskSize,Bid,BidSize,Volume,VWAP,Open,High,Low,PreviousClose,PreviousVolume,NetChange,NetChangePct,_id_y,GetTime_y,EarliestTime,LatestTime,Side,Price,TotalSize,BiggestSize,SmallestSize,NumParticipants,TotalOrderCount,Dif
36768,6480c262323df6bf8bfaf145,2023-06-07T17:46:10Z,2023-06-07T17:46:09Z,TSLA,2023-06-07T17:46:09Z,224.485,224.5,300.0,224.47,200.0,136083013.0,227.098906244335,228.0,230.82961,223.2,221.31,146911576.0,3.175,0.0143,6480c262323df6bf8bfaf1a3,2023-06-07T17:46:09Z,2023-06-07T17:46:09Z,2023-06-07T17:46:09Z,Ask,224.46,-100.0,100.0,100.0,1.0,1.0,0.025000000000005684
36769,6480c262323df6bf8bfaf145,2023-06-07T17:46:10Z,2023-06-07T17:46:09Z,TSLA,2023-06-07T17:46:09Z,224.485,224.5,300.0,224.47,200.0,136083013.0,227.098906244335,228.0,230.82961,223.2,221.31,146911576.0,3.175,0.0143,6480c262323df6bf8bfaf1ab,2023-06-07T17:46:09Z,2023-06-07T17:46:09Z,2023-06-07T17:46:09Z,Ask,224.47,-400.0,300.0,100.0,2.0,2.0,0.01500000000001478
36781,6480c26c323df6bf8bfaf20c,2023-06-07T17:46:20Z,2023-06-07T17:46:19Z,TSLA,2023-06-07T17:46:19Z,224.64,224.7,300.0,224.65,200.0,136149608.0,227.097527198245,228.0,230.82961,223.2,221.31,146911576.0,3.33,0.015,6480c26c323df6bf8bfaf206,2023-06-07T17:46:19Z,2023-06-07T17:46:19Z,2023-06-07T17:46:19Z,Bid,224.7,616.0,300.0,100.0,3.0,6.0,0.060000000000002274
36782,6480c26c323df6bf8bfaf20c,2023-06-07T17:46:20Z,2023-06-07T17:46:19Z,TSLA,2023-06-07T17:46:19Z,224.64,224.7,300.0,224.65,200.0,136149608.0,227.097527198245,228.0,230.82961,223.2,221.31,146911576.0,3.33,0.015,6480c26c323df6bf8bfaf215,2023-06-07T17:46:19Z,2023-06-07T17:46:19Z,2023-06-07T17:46:19Z,Bid,224.67,100.0,100.0,100.0,1.0,1.0,0.030000000000001137
36783,6480c26c323df6bf8bfaf20c,2023-06-07T17:46:20Z,2023-06-07T17:46:19Z,TSLA,2023-06-07T17:46:19Z,224.64,224.7,300.0,224.65,200.0,136149608.0,227.097527198245,228.0,230.82961,223.2,221.31,146911576.0,3.33,0.015,6480c26c323df6bf8bfaf21f,2023-06-07T17:46:19Z,2023-06-07T17:46:19Z,2023-06-07T17:46:19Z,Bid,224.65,600.0,300.0,300.0,2.0,2.0,0.010000000000019327
36894,6480c294323df6bf8bfaf542,2023-06-07T17:47:00Z,2023-06-07T17:46:59Z,TSLA,2023-06-07T17:46:59Z,224.7163,224.73,100.0,224.7,100.0,136375019.0,227.093244126515,228.0,230.82961,223.2,221.31,146911576.0,3.4063,0.0154,6480c294323df6bf8bfaf5bd,2023-06-07T17:46:59Z,2023-06-07T17:46:59Z,2023-06-07T17:46:59Z,Ask,224.69,-123.0,123.0,123.0,1.0,2.0,0.026299999999991996
36916,6480c29e323df6bf8bfaf615,2023-06-07T17:47:10Z,2023-06-07T17:47:08Z,TSLA,2023-06-07T17:47:08Z,224.5651,224.59,100.0,224.56,100.0,136421494.0,227.092390465789,228.0,230.82961,223.2,221.31,146911576.0,3.2551,0.0147,6480c29e323df6bf8bfaf66f,2023-06-07T17:47:09Z,2023-06-07T17:47:09Z,2023-06-07T17:47:09Z,Ask,224.55,-126.0,100.0,26.0,2.0,2.0,0.015099999999989677
36942,6480c2a8323df6bf8bfaf6d5,2023-06-07T17:47:20Z,2023-06-07T17:47:19Z,TSLA,2023-06-07T17:47:19Z,224.54,224.55,100.0,224.51,300.0,136485248.0,227.091054980195,228.0,230.82961,223.2,221.31,146911576.0,3.23,0.0146,6480c2a8323df6bf8bfaf755,2023-06-07T17:47:19Z,2023-06-07T17:47:19Z,2023-06-07T17:47:19Z,Ask,224.53,-138.0,100.0,38.0,2.0,2.0,0.009999999999990905
36995,6480c2bc323df6bf8bfaf87a,2023-06-07T17:47:40Z,2023-06-07T17:47:39Z,TSLA,2023-06-07T17:47:39Z,224.635,224.65,100.0,224.62,200.0,136523757.0,227.090278297082,228.0,230.82961,223.2,221.31,146911576.0,3.325,0.015,6480c2bc323df6bf8bfaf8f4,2023-06-07T17:47:39Z,2023-06-07T17:47:39Z,2023-06-07T17:47:39Z,Ask,224.62,-100.0,100.0,100.0,1.0,1.0,0.014999999999986358
37045,6480c2d0323df6bf8bfafa16,2023-06-07T17:48:00Z,2023-06-07T17:47:59Z,TSLA,2023-06-07T17:47:59Z,224.7,224.7,200.0,224.67,200.0,136575756.0,227.089258921521,228.0,230.82961,223.2,221.31,146911576.0,3.39,0.0153,6480c2d0323df6bf8bfafa8a,2023-06-07T17:47:59Z,2023-06-07T17:47:59Z,2023-06-07T17:47:59Z,Ask,224.69,-200.0,100.0,100.0,2.0,2.0,0.009999999999990905
