Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
GOOGL,122.89,122.9,300,122.89,300,22232047,2023-05-31T19:59:35Z
GOOGL,122.9,122.91,,122.9,200,22241071,2023-05-31T19:59:36Z
GOOGL,122.905,,2100,,400,22258791,2023-05-31T19:59:37Z
GOOGL,122.9,,1700,,900,22273070,2023-05-31T19:59:38Z
GOOGL,122.89,,1500,122.89,2100,22281327,2023-05-31T19:59:39Z
GOOGL,122.875,122.88,400,122.86,2500,22301357,2023-05-31T19:59:40Z
GOOGL,122.91,122.91,200,122.9,300,22344081,2023-05-31T19:59:41Z
GOOGL,122.885,122.89,300,122.88,100,22365606,2023-05-31T19:59:42Z
GOOGL,122.86,122.87,700,122.85,1800,22395536,2023-05-31T19:59:43Z
GOOGL,122.92,122.92,1700,122.9,200,22463954,2023-05-31T19:59:44Z
GOOGL,122.87,122.88,200,122.86,100,22494471,2023-05-31T19:59:45Z
GOOGL,,122.89,400,,300,22526758,2023-05-31T19:59:46Z
GOOGL,,122.87,600,122.85,1400,22553589,2023-05-31T19:59:47Z
GOOGL,,122.88,3500,,100,22576159,2023-05-31T19:59:48Z
GOOGL,122.865,122.87,100,122.86,,22591109,2023-05-31T19:59:49Z
GOOGL,122.85,122.86,,122.84,200,22606755,2023-05-31T19:59:50Z
GOOGL,122.87,122.9,2000,122.87,1300,22625317,2023-05-31T19:59:51Z
GOOGL,,,400,122.86,1100,22669764,2023-05-31T19:59:52Z
GOOGL,122.89,122.94,11400,122.89,600,22685521,2023-05-31T19:59:53Z
GOOGL,122.92,,400,122.91,46900,22711536,2023-05-31T19:59:54Z
GOOGL,,122.93,100,,44000,22741549,2023-05-31T19:59:55Z
GOOGL,,,1900,,42500,22764874,2023-05-31T19:59:56Z
GOOGL,122.9,,2500,122.89,45200,22786802,2023-05-31T19:59:57Z
GOOGL,122.99,122.99,700,122.97,10300,22858963,2023-05-31T19:59:58Z
GOOGL,122.97,123,17900,,58800,22934076,2023-05-31T19:59:59Z
