,Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,Sum
26,0.25,0.12,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
25,0.25,0.125,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
24,0.25,0.13,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
23,0.25,0.135,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
22,0.25,0.14,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
21,0.25,0.14500000000000002,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
133,0.245,0.08499999999999999,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
517,0.225,0.16499999999999998,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
135,0.245,0.07500000000000001,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
200,0.24,0.25,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
202,0.24,0.24,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
203,0.24,0.235,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
