Date,Open,High,Low,Close,Volume
2023-05-12 12:42:18.745000-04:00,,,,168.16,100
2023-05-12 12:42:29.889000-04:00,,,,168.12,200
2023-05-12 12:42:40.125000-04:00,,,,168.1,29
2023-05-12 12:42:50.832000-04:00,,,,168.11,100
2023-05-12 12:43:01.246000-04:00,,,,168.13,8
2023-05-12 12:43:11.381000-04:00,,,,167.96,100
2023-05-12 12:43:21.641000-04:00,,,,167.96,100
2023-05-12 12:43:31.145000-04:00,,,,167.96,1
2023-05-12 12:43:42.690000-04:00,,,,167.96,1000
2023-05-12 12:43:52.845000-04:00,,,,167.9686,2
2023-05-12 12:44:03.590000-04:00,,,,167.96,16
2023-05-12 12:44:14.148000-04:00,,,,167.99,25
2023-05-12 12:44:24.012000-04:00,,,,167.94,7
2023-05-12 12:44:35.553000-04:00,,,,167.92,893
2023-05-12 12:44:45.151000-04:00,,,,167.94,10
2023-05-12 12:44:55.045000-04:00,,,,167.94,9
2023-05-12 12:45:04.871000-04:00,,,,167.7492,1
2023-05-12 12:45:15.341000-04:00,,,,167.61,40
2023-05-12 12:45:26.503000-04:00,,,,167.75,250
2023-05-12 12:45:36.970000-04:00,,,,167.7286,10
2023-05-12 12:45:46.867000-04:00,,,,167.82,2
2023-05-12 12:45:56.382000-04:00,,,,167.7912,1
2023-05-12 12:46:06.780000-04:00,,,,167.7393,1
2023-05-12 12:46:17.370000-04:00,,,,167.745,5
2023-05-12 12:46:28.227000-04:00,,,,167.62,300
2023-05-12 12:46:38.619000-04:00,,,,167.65,14
2023-05-12 12:46:48.520000-04:00,,,,167.55,238
2023-05-12 12:46:59.786000-04:00,,,,167.58,100
2023-05-12 12:47:09.715000-04:00,,,,167.5476,150
2023-05-12 12:47:19.842000-04:00,,,,167.51,33
2023-05-12 12:47:31.149000-04:00,,,,167.65,38
2023-05-12 12:47:40.940000-04:00,,,,167.71,1
2023-05-12 12:47:50.512000-04:00,,,,167.685,2
2023-05-12 12:48:01.967000-04:00,,,,167.6451,208
2023-05-12 12:48:12.740000-04:00,,,,167.6901,1000
2023-05-12 12:48:23.795000-04:00,,,,167.67,30
2023-05-12 12:48:33.819000-04:00,,,,167.61,12
2023-05-12 12:48:44.038000-04:00,,,,167.5999,1
2023-05-12 12:48:54.230000-04:00,,,,167.5401,100
2023-05-12 12:49:05.136000-04:00,,,,167.61,22
2023-05-12 12:49:15.061000-04:00,,,,167.535,1
2023-05-12 12:49:25.115000-04:00,,,,167.59,400
2023-05-12 12:49:35.632000-04:00,,,,167.6288,1
